gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
83691,172.4639995,-5.806089089,0.399596302,-14.52988692,7.83E-48,5.96E-46
14609,4629.77565,-4.893191614,0.33699924,-14.51988918,9.07E-48,6.87E-46
67252,114.4827868,-6.587153728,0.45536133,-14.46577322,1.99E-47,1.50E-45
77481,496.6467462,-8.834547224,0.611761538,-14.44116159,2.85E-47,2.14E-45
69035,768.5492948,1.272027428,0.088122787,14.43471633,3.13E-47,2.34E-45
12095,585.4598573,3.941181317,0.27336691,14.41718501,4.03E-47,3.01E-45
230098,895.2445484,-6.430824952,0.447262581,-14.37818681,7.09E-47,5.27E-45
71973,125.8149771,-5.011690102,0.349279758,-14.34864172,1.09E-46,8.04E-45
208076,399.006247,-5.277323566,0.367885206,-14.34502796,1.14E-46,8.43E-45
78354,220.1108486,5.518427332,0.385131916,14.32866791,1.45E-46,1.06E-44
237759,456.956546,-6.590957706,0.460199396,-14.3219608,1.60E-46,1.17E-44
230775,248.1060584,-6.104684548,0.426963234,-14.29791622,2.25E-46,1.64E-44
65256,738.2601537,-8.86287732,0.621159766,-14.26827332,3.45E-46,2.50E-44
26556,1966.007872,-2.212118886,0.155152849,-14.2576749,4.02E-46,2.90E-44
28193,2860.496176,-2.146775046,0.150601641,-14.25465904,4.19E-46,3.02E-44
19085,326.4739402,-4.336675919,0.30507239,-14.21523568,7.37E-46,5.29E-44
74411,269.3350327,2.661324608,0.18768407,14.17981081,1.22E-45,8.73E-44
494504,194.2830902,-3.174578078,0.223943826,-14.17577854,1.29E-45,9.21E-44
12298,766.870168,-5.924259921,0.418055876,-14.17097634,1.39E-45,9.83E-44
12291,570.7449955,-7.271934921,0.513495542,-14.16163205,1.58E-45,1.12E-43
394435,303.3952168,-7.672410821,0.542128427,-14.1523861,1.81E-45,1.27E-43
380969,1746.311638,-3.539146738,0.251332812,-14.08151491,4.93E-45,3.46E-43
244867,330.2884938,-7.411905822,0.526691611,-14.07257239,5.60E-45,3.91E-43
231532,448.3996443,-7.278439578,0.517717257,-14.05871542,6.81E-45,4.74E-43
18552,568.121175,-3.812938164,0.271413658,-14.04843881,7.88E-45,5.46E-43
