"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"20430",1270.77941402709,0.272187527658817,0.124424273522358,2.18757578367461,0.0287005174038124,0.0510484202541548
"234669",1.27801961092152,-2.54507741855088,1.16344133438328,-2.1875425458388,0.0287029408485123,0.0510484202541548
"54390",0.957142390186187,-3.21226091736729,1.46904703555402,-2.18662904564921,0.0287696151919812,0.0511621953644193
"100124438",6.06555273445768,0.965992054568984,0.441856621178153,2.18621156336481,0.0288001306663605,0.0512116523325385
"70821",64.0274738402075,-0.615547291935865,0.281569669305922,-2.18612783632985,0.0288062539689753,0.051217730552031
"666642",680.413706437496,0.357089333667754,0.16337865990846,2.18565468628417,0.0288408784487195,0.0512744781735262
"54604",2055.56567731,-0.284444310395275,0.130171152823346,-2.18515626715923,0.0288773908322195,0.0513345712155895
"104871",69.3032525021052,-0.679802003784573,0.311134587314584,-2.18491299746509,0.0288952263377769,0.0513614547014146
"11434",1.54970389785763,-2.4110318297418,1.10359518204065,-2.18470673755894,0.0289103558702905,0.0513835237067567
"433968",692.577468426147,0.510591965872587,0.233755563353428,2.1842986688646,0.0289403085313917,0.0514319318315535
"68792",5.81368583257004,-1.38338957436879,0.63349027523854,-2.18375818610297,0.0289800216410152,0.0514976752464553
"22138",26.3773698830243,-0.675935745892115,0.309569492690077,-2.18347014758597,0.0290012050325475,0.0515304819900763
"101489",821.704686483786,0.413066383055175,0.189186731569749,2.1833792445581,0.0290078931354206,0.051537529194525
"252876",77.159651802022,0.422011684339229,0.193302507772835,2.18316714667338,0.029023503196066,0.0515604249872691
"16565",352.586360442988,-1.30599199031706,0.598317743034957,-2.1827732931543,0.029052509356679,0.0516071125020508
"22301",1.15280310084161,3.26684065588308,1.49711727625712,2.1820873405792,0.0291030873299154,0.051692106520133
"320429",2.94417599426535,-2.21933934196145,1.01718618134708,-2.1818418128944,0.0291212094565858,0.0517194428150263
"100628584",208.253809123087,0.876935879701399,0.402028670202167,2.18127697027283,0.0291629367383681,0.051788692947314
"382097",6.33131253565938,-1.37544382175139,0.630599804961509,-2.18116753435302,0.0291710271738801,0.051798202054792
"213438",1.1522682227551,-2.92411854283078,1.34065578024696,-2.1811106071479,0.0291752364815003,0.051800818411546
"71354",22.7708164054457,0.839548162488979,0.384925788663549,2.18106499282333,0.0291786096700507,0.0518019498821134
"212518",0.937742808652413,-3.18727358863319,1.46137604162105,-2.18100851379613,0.0291827867706009,0.0518045082237537
"109113",1478.50613880259,-0.351859745703974,0.161357873740592,-2.18061714341652,0.0292117460518556,0.0518510546307148
"67437",8115.51063982653,0.68469669946774,0.314052580144013,2.18019765720047,0.0292428132060714,0.0519013334499209
"18548",4.5090422381963,-1.70497795236833,0.782067961404682,-2.18008924608802,0.0292508467559834,0.051905860588359
"73062",516.769583300501,0.304872350148856,0.139843550609424,2.18009589158923,0.0292503542521528,0.051905860588359
"18952",83.1326109216528,-0.836478816666334,0.383712046275598,-2.1799649627511,0.0292600588159901,0.0519173417319798
"12032",0.947205948248833,-2.64016577490823,1.21122414407718,-2.17974995612373,0.0292760013117859,0.0519407616976531
"12927",3816.8028005345,-0.712528172966016,0.326936023504377,-2.17941163328695,0.0293011026967619,0.0519804252281917
